"HYDROMONTHLYVAR"
"Generator Name","DataTypeName","DatatypeID","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","PatternName"
"Roosevelt","VOMCost",1,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Roosevelt","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Roosevelt","MinGen",3,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Roosevelt","MaxCap",4,0,36,36,36,36,36,36,36,36,36,36,36,36,""
"Roosevelt","MonthlyEnergy",5,0,3713,15236,19985,12111,7268,14882,18153,21104,16926,2687,2640,3856,""
"Roosevelt","KLoadFollowing",6,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Roosevelt","DispatchCost",9,0,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,""
"Roosevelt","Pvalue",10,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Roosevelt","DailyOpRange",11,0,11.18,28.82,39.24,39.07,36.87,35.85,34.35,28.89,33.68,18.68,19.43,24.58,""
"Roosevelt","PLFAllocator",12,0,.6,.6,.6,.6,.6,.6,.6,.6,.6,.6,.6,.6,""
"KernRiver1_1","VOMCost",1,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"KernRiver1_1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"KernRiver1_1","MinGen",3,0,.5175,.72,1.075,1.6675,1.7925,1.135,2.665,1.46,.0125,.0075,1.155,.005,""
"KernRiver1_1","MaxCap",4,0,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,""
"KernRiver1_1","MonthlyEnergy",5,0,1607.34,1859.61,2365.18,2163.08,2596.67,2349.69,2526.72,1807.96,1078.01,993.045,1114.88,911.215,""
"KernRiver1_1","KLoadFollowing",6,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"KernRiver1_1","DispatchCost",9,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,""
"KernRiver1_1","Pvalue",10,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"KernRiver1_1","DailyOpRange",11,0,3.07,2.9725,2.3625,1.51,.52,.41,.3625,.425,.4875,.365,.4525,.3625,""
"KernRiver1_1","PLFAllocator",12,0,1,1,1,1,1,1,1,1,1,1,1,1,""
"Portal","VOMCost",1,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Portal","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Portal","MinGen",3,0,.35,.15,2.47,1.88,6.39,7.32,3.82,4.22,2.7,0,0,0,""
"Portal","MaxCap",4,0,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,""
"Portal","MonthlyEnergy",5,0,1728.27,2913.17,3538.37,3757.53,6222.82,6729.48,5687.11,5018.34,4342.66,1471.42,205.06,619.99,""
"Portal","KLoadFollowing",6,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Portal","DispatchCost",9,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,""
"Portal","Pvalue",10,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Portal","DailyOpRange",11,0,2.76,1.93,1.72,1.96,.98,.64,1.72,2.43,1.32,.65,.19,.78,""
"Portal","PLFAllocator",12,0,1,1,1,1,1,1,1,1,1,1,1,1,""
"MammothPool2","VOMCost",1,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"MammothPool2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"MammothPool2","MinGen",3,0,2.625,1.135,18.265,13.945,47.325,54.185,28.265,31.27,19.99,.02,.02,.025,""
"MammothPool2","MaxCap",4,0,80,80,80,80,80,80,80,80,80,80,80,80,""
"MammothPool2","MonthlyEnergy",5,0,12802,21579,26210.2,27833.6,46095,49848,42126.7,37172.9,32167.9,10899.4,1518.98,4592.54,""
"MammothPool2","KLoadFollowing",6,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"MammothPool2","DispatchCost",9,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,""
"MammothPool2","Pvalue",10,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"MammothPool2","DailyOpRange",11,0,20.445,14.33,12.775,14.525,7.27,4.725,12.77,17.97,9.755,4.83,1.395,5.755,""
"MammothPool2","PLFAllocator",12,0,1,1,1,1,1,1,1,1,1,1,1,1,""
"Venice_1","VOMCost",1,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Venice_1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Venice_1","MinGen",3,0,.5,.7,1,1.2,1.6,1.5,1.6,1.3,1,.8,.6,.6,""
"Venice_1","MaxCap",4,0,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,""
"Venice_1","MonthlyEnergy",5,0,442,585,924,1095,1497,1354,1493,1219,908,721,503,528,""
"Venice_1","KLoadFollowing",6,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Venice_1","DispatchCost",9,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,""
"Venice_1","DailyOpRange",11,0,0,.1,.1,.2,.2,.2,.2,.2,.1,.1,0,.1,""
"Venice_1","PLFAllocator",12,0,1,1,1,1,1,1,1,1,1,1,1,1,""
"Lundy1","VOMCost",1,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Lundy1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Lundy1","MinGen",3,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Lundy1","MaxCap",4,0,.74,.76,.72,.76,1.04,1.02,.93,.77,.62,.62,.68,.74,""
"Lundy1","MonthlyEnergy",5,0,71.5,94.5,149.5,177,242,219,241.5,197,147,116.5,81.5,85.5,""
"Lundy1","KLoadFollowing",6,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Lundy1","DispatchCost",9,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,""
"Lundy1","Pvalue",10,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Lundy1","DailyOpRange",11,0,.74,.76,.72,.76,1.04,1.02,.93,.77,.62,.62,.68,.74,""
"Lundy1","PLFAllocator",12,0,1,1,1,1,1,1,1,1,1,1,1,1,""
"Haas2","VOMCost",1,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Haas2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Haas2","MinGen",3,0,.015,.135,.115,4.145,8.205,22.635,12.03,1.485,.13,.09,.1,.015,""
"Haas2","MaxCap",4,0,72,72,72,72,72,72,72,72,72,72,72,72,""
"Haas2","MonthlyEnergy",5,0,4765.07,5948.28,8794.31,19621.6,24876.5,34822,36012.2,16728,14115.1,12314.6,7989.91,19435.4,""
"Haas2","KLoadFollowing",6,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Haas2","DispatchCost",9,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,""
"Haas2","Pvalue",10,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Haas2","DailyOpRange",11,0,24.305,25.37,21.865,31.91,30.58,38.83,42.785,40.395,38.845,28.06,28.67,28.795,""
"Haas2","PLFAllocator",12,0,.6,.6,.6,.6,.6,.6,.6,.6,.6,.6,.6,.6,""
"Haas1","VOMCost",1,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Haas1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Haas1","MinGen",3,0,.015,.135,.115,4.145,8.205,22.635,12.03,1.485,.13,.09,.1,.015,""
"Haas1","MaxCap",4,0,72,72,72,72,72,72,72,72,72,72,72,72,""
"Haas1","MonthlyEnergy",5,0,4765.07,5948.28,8794.31,19621.6,24876.5,34822,36012.2,16728,14115.1,12314.6,7989.91,19435.4,""
"Haas1","KLoadFollowing",6,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Haas1","DispatchCost",9,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,""
"Haas1","Pvalue",10,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Haas1","DailyOpRange",11,0,24.305,25.37,21.865,31.91,30.58,38.83,42.785,40.395,38.845,28.06,28.67,28.795,""
"Haas1","PLFAllocator",12,0,1,1,1,1,1,1,1,1,1,1,1,1,""
"Kerckhoff_H3","VOMCost",1,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Kerckhoff_H3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Kerckhoff_H3","MinGen",3,0,0,0,0,.00995,3.743834,.6698446,0,0,0,0,0,0,""
"Kerckhoff_H3","MaxCap",4,0,8.356477,8.356477,8.356477,8.356477,8.356477,8.356477,8.356477,8.356477,8.356477,8.356477,8.356477,8.356477,""
"Kerckhoff_H3","MonthlyEnergy",5,0,775.823,1339.56,1936.56,1970.16,4813.79,3229.1,2400.04,1737.52,1640.91,511.091,202.953,785.655,""
"Kerckhoff_H3","KLoadFollowing",6,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Kerckhoff_H3","DispatchCost",9,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,""
"Kerckhoff_H3","Pvalue",10,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Kerckhoff_H3","DailyOpRange",11,0,3.83337,4.69223,4.28435,3.27627,1.85036,3.78363,4.81824,4.70549,4.40705,1.37617,1.13741,3.10052,""
"Kerckhoff_H3","PLFAllocator",12,0,1,1,1,1,1,1,1,1,1,1,1,1,""
"Kerckhoff_H2","VOMCost",1,0,0,0,0,0,0,0,0,0,0,0,0,0,""
