"HR_GENERAL","HR_GENERAL"
"Note: For hourly resource units, there are three valid types - Wind, Solar and Others."
"GeneratorKey","GeneratorName","Type","CommitmentShapeID","CommitmentShapeName","CommitmentMultiplier","DispatchShapeID","DispatchShapeName","DispatchMultiplier","CommitmentVariation(%)","CommitmentPdf","DispatchVariation(%)","DispatchPdf","Capacity(MW)","Spillage","IfEnableMultiBlock","ModelType","IfUseInvertLoadingRatio","InvertLoadingRatio","TargetCapacityFactor"
"14961","0227-WD_30507_FW","Solar","2276","PV_CA_Cnty_0227-WD_30507_FW_38.00-121.12_F[09]","4.2","2276","PV_CA_Cnty_0227-WD_30507_FW_38.00-121.12_F[09]","4.2","0","0","0","0","4.2",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14962","0354-WD_30522_EW","Solar","2277","PV_CA_Cnty_0354-WD_30522_EW_38.11-121.82_F[09]","1.8","2277","PV_CA_Cnty_0354-WD_30522_EW_38.11-121.82_F[09]","1.8","0","0","0","0","1.8",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16437","100B-Ekola Flats WD 1","Wind","3066","WT_WY_NA_100B-Ekola Flats WD - 1 P WT-67796-01_42.00-106.38 [09]",".01204","3066","WT_WY_NA_100B-Ekola Flats WD - 1 P WT-67796-01_42.00-106.38 [09]",".01204","0","0","0","0","120.4",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16438","100B-Ekola Flats WD 2","Wind","3066","WT_WY_NA_100B-Ekola Flats WD - 1 P WT-67796-01_42.00-106.38 [09]",".01294","3066","WT_WY_NA_100B-Ekola Flats WD - 1 P WT-67796-01_42.00-106.38 [09]",".01294","0","0","0","0","129.4",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16931","245B-Uinta WD Energy Center - 2","Wind","3067","WT_WY_NA_245B-Uinta WD Energy Center - 2_39.82-111.89 [09]",".0161","3067","WT_WY_NA_245B-Uinta WD Energy Center - 2_39.82-111.89 [09]",".0161","0","0","0","0","161",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16901","421S Hays DG PV","Solar","2927","PV_AB_Cnty_421S Hays DG PV_50.30-112.06_T[09]","24","2927","PV_AB_Cnty_421S Hays DG PV_50.30-112.06_T[09]","24","0","0","0","0","24",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16322","70724_ADS30_Spring Canyon 2-3","Wind","1265","WT_UT_NA_Spring Canyon_40.98-102.96 [09]",".006","1265","WT_UT_NA_Spring Canyon_40.98-102.96 [09]",".006","0","0","0","0","60",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16902","895S Suffield DG PV","Solar","2928","PV_AB_Cnty_895S Suffield DG PV_50.35-111.68_T[09]","22","2928","PV_AB_Cnty_895S Suffield DG PV_50.35-111.68_T[09]","22","0","0","0","0","24",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14964","ACACIA_G_29878_EQ","Solar","2278","PV_CA_Cnty_ACACIA_G_29878_EQ_34.69-118.32_F[09]","20","2278","PV_CA_Cnty_ACACIA_G_29878_EQ_34.69-118.32_F[09]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13192","Adams East","Solar","2279","PV_CA_Cnty_Adams East_36.62-120.29_F[09]","19","2279","PV_CA_Cnty_Adams East_36.62-120.29_F[09]","19","0","0","0","0","19",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17091","Adams Solar OR","Solar","2876","PV_OR_Cnty_Adams Solar OR_44.60-121.27_F[09]","20","2876","PV_OR_Cnty_Adams Solar OR_44.60-121.27_F[09]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13605","Adel SVC","Others","1","None","0","1","None","0","0","0","0","0","0",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13660","Adelanto Solar","Solar","2278","PV_CA_Cnty_ACACIA_G_29878_EQ_34.69-118.32_F[09]","20","2278","PV_CA_Cnty_ACACIA_G_29878_EQ_34.69-118.32_F[09]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17296","Adelanto Solar 2","Solar","2278","PV_CA_Cnty_ACACIA_G_29878_EQ_34.69-118.32_F[09]","7","2278","PV_CA_Cnty_ACACIA_G_29878_EQ_34.69-118.32_F[09]","7","0","0","0","0","7",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
