"HYDROGENERAL","Please don't change this row, otherwise this file may not be valid anymore!"
ScheduleMode: 1-UseGivenSchedule; 2-PeakShaving; 3-LoadFollowing
"Generator Name","CurveName","ScheduleMode","Multiplier","Capacity","Spillage","RampUpRate","RampDownRate","FOR","OutageDuration","ReserveContribution","Automatically_Calculate_K_and_p_Factors","Bank","ModelType"
"Roosevelt","NA","3",.0036,"36",#FALSE#,"24","24","0","1",".5",#TRUE#,#FALSE#,"NA"
"KernRiver1_1","HY_KernRvr1_2028[09]","3",.00064,"6.4",#FALSE#,"4.27","4.27","0","1",".25",#TRUE#,#FALSE#,"NA"
"Portal","HY_Portal_2028[09]","3",.00096,"9.6",#FALSE#,"7.2","7.2","0","1",".5",#TRUE#,#FALSE#,"NA"
"MammothPool2","NA","3",.00935,"93.5",#FALSE#,"63.33","63.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Venice_1","HY_Generic_2028[Keswick09]","1",.001014,"10.14",#FALSE#,"6.76","6.76","0","1",".5",#TRUE#,#FALSE#,"NA"
"Lundy1","None","3",.00037,"3.7",#FALSE#,"1","1","0","1",".5",#TRUE#,#FALSE#,"NA"
"Haas2","NA","3",.0072,"72",#FALSE#,"48","48","0","1",".5",#TRUE#,#FALSE#,"NA"
"Haas1","NA","3",.0072,"72",#FALSE#,"48","48","0","1",".5",#TRUE#,#FALSE#,"NA"
"Kerckhoff_H3","HY_Kerckhoff_2028[05]","3",.00128,"12.8",#FALSE#,"8.53","8.53","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Kerckhoff_H2","HY_Kerckhoff_2028[05]","3",.00128,"12.8",#FALSE#,"8.53","8.53","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Kerckhoff_H1","HY_Kerckhoff_2028[05]","3",.0013,"13",#FALSE#,"8.67","8.67","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Kerckhoff_2_1","HY_Kerckhoff2_2028[05]","3",.01539,"153.9",#FALSE#,"102.6","102.6","0","1",".5",#TRUE#,#FALSE#,"NA"
"Exchequer","HY_Exchequer_2028[05]","3",.00945,"94.5",#FALSE#,"63","63","0","1",".5",#TRUE#,#FALSE#,"NA"
"BordenQFAgg","HY_Generic_2028[Keswick09]","1",.000224,"2.24",#FALSE#,"1.49","1.49","0","1",".5",#FALSE#,#FALSE#,"NA"
"McCall_QF","HY_Generic_2028[Keswick09]","1",.000145,"1.45",#FALSE#,".97",".97","0","1",".5",#TRUE#,#FALSE#,"NA"
"Site_980_65","NA","3",.000375,"3.75",#FALSE#,"2.5","2.5","0","1",".5",#TRUE#,#FALSE#,"NA"
"Spring_Gap_1","HY_StanislausDonnels_2028[09]","3",.0007,"7",#FALSE#,"4.67","4.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Tulloch_2","HY_StanislausDonnels_2028[09]","3",.000985,"9.85",#FALSE#,"6.57","6.57","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Tulloch_1","HY_StanislausDonnels_2028[09]","3",.000985,"9.85",#FALSE#,"6.57","6.57","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Beardsley_1","HY_StanislausDonnels_2028[09]","3",.0011,"11",#TRUE#,"7.67","7.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Stanislaus_HC1","HY_Stanislaus_2028[09]","3",.0091,"91",#FALSE#,"60.67","60.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Sand_Bar","HY_StanislausDonnels_2028[09]","3",.0016,"16",#FALSE#,"12.4","12.4","0","1",".5",#TRUE#,#FALSE#,"NA"
"Donnells","HY_Donnells_2028[09]","3",.0072,"72",#FALSE#,"48","48","0","1",".5",#TRUE#,#FALSE#,"NA"
"Tiger_Creek_H2","NA","3",.00286,"28.6",#FALSE#,"19.07","19.07","0","1",".5",#TRUE#,#FALSE#,"NA"
"R_C_Kirkwood_1","HY_Kirkwood_2028[09]","3",.004313,"43.13",#FALSE#,"28.75","28.75","0","1",".3333",#TRUE#,#FALSE#,"NA"
"R_C_Kirkwood_2","HY_Kirkwood_2028[09]","3",.004313,"43.13",#FALSE#,"28.75","28.75","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Balch22","None","3",.00525,"52.5",#TRUE#,"35","35","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Balch23","None","3",.00546,"54.6",#TRUE#,"36.4","36.4","0","1",".3333",#TRUE#,#FALSE#,"NA"
"KingsRiverHY","HY_KingsRvr_2028[09]","3",.00512,"51.2",#FALSE#,"34.13","34.13","0","1",".5",#TRUE#,#FALSE#,"NA"
"Balch11","HY_Balch1_2028[05]","3",.0031,"31",#TRUE#,"22.67","22.67","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Crane_Valley","HY_Generic_2028[Keswick09]","1",.00009,".9",#FALSE#,".6",".6","0","1",".5",#TRUE#,#FALSE#,"NA"
"R_C_Kirkwood_3","HY_Kirkwood_2028[09]","3",.004313,"43.13",#FALSE#,"28.75","28.75","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Dion_R_Holm_1","HY_Holm_2028[05]","3",.00784,"78.4",#FALSE#,"56.67","56.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Dion_R_Holm_2","HY_Holm_2028[05]","3",.00784,"78.4",#FALSE#,"56.67","56.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Moccasin_1","HY_Moccasin_2028[09]","3",.00575,"57.5",#FALSE#,"38.33","38.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Moccasin_2","HY_Moccasin_2028[09]","3",.00575,"57.5",#FALSE#,"38.33","38.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Tiger_Creek_H1","NA","3",.00274,"27.4",#FALSE#,"18.27","18.27","0","1",".5",#TRUE#,#FALSE#,"NA"
"Electra_3","None","3",.00315,"31.5",#FALSE#,"21","21","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Electra_2","None","3",.00315,"31.5",#FALSE#,"21","21","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Electra_1","None","3",.002899,"28.99",#FALSE#,"19.33","19.33","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Salt_Springs_2","NA","3",.003111,"31.11",#FALSE#,"20.74","20.74","0","1",".5",#TRUE#,#FALSE#,"NA"
"Salt_Springs_1","NA","3",.001289,"12.89",#FALSE#,"8.59","8.59","0","1",".5",#TRUE#,#FALSE#,"NA"
"Nimbus_1","HY_Nimbus_2028[09]","3",.000863,"8.63",#FALSE#,"5.75","5.75","0","1",".5",#TRUE#,#FALSE#,"NA"
"Nimbus_2","HY_Nimbus_2028[09]","3",.000863,"8.63",#FALSE#,"5.75","5.75","0","1",".5",#TRUE#,#FALSE#,"NA"
"Thermalito_1","None","3",.0032,"32",#FALSE#,"26.95","26.95","0","1",".5",#TRUE#,#FALSE#,"NA"
"Thermalito_2","NA","3",1,"0",#TRUE#,"20","20","0","1","1",#FALSE#,#FALSE#,"NA"
"Thermalito_3","NA","3",1,"0",#TRUE#,"20","20","0","1","1",#FALSE#,#FALSE#,"NA"
"Thermalito_4","NA","3",1,"0",#TRUE#,"20","20","0","1","1",#FALSE#,#FALSE#,"NA"
"Pine_Flat_1","None","3",.00579,"57.9",#FALSE#,"38.6","38.6","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Pine_Flat_2","None","3",.00579,"57.9",#FALSE#,"38.6","38.6","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Pine_Flat_3","None","3",.00579,"57.9",#FALSE#,"38.6","38.6","0","1",".3333",#TRUE#,#FALSE#,"NA"
"EdwardCHyatt1","None","3",.01232,"123.2",#FALSE#,"96.72","96.72","0","1",".3333",#TRUE#,#FALSE#,"NA"
"EdwardCHyatt3","None","3",.01232,"123.2",#FALSE#,"96.72","96.72","0","1",".3333",#TRUE#,#FALSE#,"NA"
"EdwardCHyatt5","None","3",.01232,"123.2",#FALSE#,"96.72","96.72","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Caribou_2_4","NA","3",.00624,"62.4",#FALSE#,"41.6","41.6","0","1",".5",#TRUE#,#FALSE#,"NA"
"Butt_Valley_1","NA","3",.0041,"41",#TRUE#,"27.33","27.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Pit_7_H1","NA","3",.00557,"55.7",#FALSE#,"37.13","37.13","0","1",".5",#TRUE#,#FALSE#,"NA"
"Pit_6_H1","NA","3",.0039,"39",#FALSE#,"26","26","0","1",".5",#TRUE#,#FALSE#,"NA"
"James_B_Black_2","NA","3",.00841,"84.1",#FALSE#,"56.07","56.07","0","1",".5",#TRUE#,#FALSE#,"NA"
"James_B_Black_1","NA","3",.0085,"85",#FALSE#,"56.67","56.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Pit_4_1","NA","3",.00517,"51.7",#FALSE#,"34.47","34.47","0","1",".5",#TRUE#,#FALSE#,"NA"
