ba,lon,lat
AECI,-95.0552393,39.6952337
AVA,-118.1842747,47.017376
AVRN,-120.3931262,45.66046923076923
AZPS,-112.5929281,33.459269222222225
BANC,-121.3101847,38.44360095652174
BPAT,-119.7619101,45.32796213
CISO,-118.6612684,35.349726694404595
CPLE,-78.65206802,35.26149904966888
CPLW,-79.0522464,35.313949799999996
DUK,-79.78766469,35.39843338
EPE,-106.6852307,32.26395625
ERCO,-99.82052444,31.481928246861926
FMPP,-81.42844017,28.278194833333334
FPC,-82.01313906,28.87249613
FPL,-81.34668994,28.009782916666666
GRIS,-103.137409,34.730593
GVL,-82.358914,29.6617315
GWA,-112.1472,48.521649999999994
IID,-115.6481477,33.02752213043478
IPCO,-115.8003931,43.36671524528302
ISNE,-71.78490144,42.36379579166667
JEA,-81.71703867,30.3852515
LDWP,-117.8934097,34.590112361702126
LGEE,-84.71257,37.78831
MISO,-92.68766199,43.574734862579284
NBSO,-67.8111,46.54422
NEVP,-116.1174293,37.07423328947368
NWMT,-110.2915031,46.61023159090909
NYIS,-75.49474611,42.60355492277992
PACE,-110.6928045,40.109401
PACW,-120.4788726,43.93804741666667
PGE,-122.5988567,45.20799344
PJM,-77.95761183,39.53526215782665
PNM,-106.3162985,34.95818746551724
PSCO,-104.7481034,39.41951683333333
PSEI,-120.7031475,47.00890233333333
SC,-79.91332629,33.69995142857143
SCEG,-81.11040271,33.23771297560975
SEPA,-82.1986285,33.601186
SOCO,-83.8489135,32.271385547169814
SPA,-95.13335175,35.73043475
SRP,-111.5367144,33.32693718181818
SWPP,-99.08736577,38.061995014336915
TAL,-84.288619,30.30733
TEC,-82.1463152,27.832499866666666
TEPC,-110.9459827,32.605729696969696
TVA,-87.51651335,35.252657346153846
WACM,-104.4831279,40.00849030232558
WALC,-112.4781666,34.34847057142857
WAUW,-105.6268335,41.4849895
WWA,-112.103333,48.820278
