ba,lon,lat
AECI,-95.0552393,39.6952337
AVA,-118.18427466666667,47.017376
AVRN,-120.39312615384615,45.66046923076923
AZPS,-112.5929281111111,33.459269222222225
BANC,-121.31018465217392,38.44360095652174
BPAT,-119.761910125,45.327962125
CISO,-118.66126841750359,35.349726694404595
CPLE,-78.65206801986756,35.26149904966888
CPLW,-79.0522464,35.313949799999996
DUK,-79.78766469318182,35.398433375
EPE,-106.68523066666667,32.26395625
ERCO,-99.82052443514644,31.481928246861926
FMPP,-81.42844016666666,28.278194833333334
FPC,-82.0131390625,28.872496125
FPL,-81.34668994444445,28.009782916666666
GRIS,-103.13740899999999,34.730593
GVL,-82.358914,29.6617315
GWA,-112.1472,48.521649999999994
IID,-115.64814769565217,33.02752213043478
IPCO,-115.80039311320755,43.36671524528302
ISNE,-71.78490143833334,42.36379579166667
JEA,-81.71703866666667,30.3852515
LDWP,-117.89340965957447,34.590112361702126
LGEE,-84.71257,37.78831
MISO,-92.68766198520085,43.574734862579284
NBSO,-67.8111,46.54422
NEVP,-116.11742934210527,37.07423328947368
NWMT,-110.29150313636363,46.61023159090909
NYIS,-75.4947461081081,42.60355492277992
PACE,-110.69280446875,40.109401
PACW,-120.47887264583333,43.93804741666667
PGE,-122.59885666666666,45.2079934375
PJM,-77.95761183182407,39.53526215782665
PNM,-106.31629848275863,34.95818746551724
PSCO,-104.74810344791666,39.41951683333333
PSEI,-120.7031475,47.00890233333333
SC,-79.91332628571428,33.69995142857143
SCEG,-81.11040270731708,33.23771297560975
SEPA,-82.1986285,33.601186
SOCO,-83.8489135,32.271385547169814
SPA,-95.13335175,35.73043475
SRP,-111.53671436363636,33.32693718181818
SWPP,-99.08736577419354,38.061995014336915
TAL,-84.288619,30.30733
TEC,-82.1463152,27.832499866666666
TEPC,-110.94598266666667,32.605729696969696
TVA,-87.51651334615384,35.252657346153846
WACM,-104.48312793023256,40.00849030232558
WALC,-112.47816657142857,34.34847057142857
WAUW,-105.6268335,41.4849895
WWA,-112.103333,48.820278
