ba,lon,lat
AECI,1.3,0.0
AVA,0.0,0.7
AVRN,-0.5,0.5
AZPS,-0.7,-0.7
BANC,-0.3,0.7
BPAT,1.3,0.0
CISO,-1.3,0.3
CPLE,0.0,-0.7
CPLW,0.0,0.7
DUK,-1.0,0.0
EPE,-1.0,0.0
ERCO,0.0,-0.7
FMPP,1.3,0.0
FPC,1.0,0.0
FPL,1.0,-0.5
GRIS,1.2,0.0
GVL,1.0,0.0
GWA,-0.5,-0.7
IID,-0.7,0.0
IPCO,0.5,0.7
ISNE,0.2,0.7
JEA,1.0,0.0
LDWP,0.75,-0.5
LGEE,0.0,-0.7
MISO,-0.3,0.5
NBSO,-1.2,0.0
NEVP,-0.7,0.7
NWMT,0.0,0.7
NYIS,0.3,0.7
PACE,0.0,-0.7
PACW,-0.7,-0.7
PGE,-0.6,-0.7
PJM,0.0,0.7
PNM,0.0,-0.7
PSCO,0.0,-0.7
PSEI,0.0,0.7
SC,-0.3,-0.5
SCEG,0.0,0.7
SEPA,-1.2,0.0
SOCO,0.0,-0.7
SPA,-0.3,0.7
SRP,-0.1,-0.7
SWPP,0.0,0.7
TAL,0.0,-1.0
TEC,0.5,-0.7
TEPC,1.0,-0.5
TVA,0.0,0.5
WACM,0.0,0.5
WALC,1.5,0.3
WAUW,0.0,0.5
WWA,0.0,0.7
