ba,year,month,hydro_gen_mwh,hydro_capacity,hours_in_month,hydro_num_sites,hydro_cf
AEC,1982,1,2519.51018,8.2,744,2,0.4129802943876214
AEC,1982,2,3868.3345200000003,8.2,672,2,0.7020061193379792
AEC,1982,3,4338.79546,8.2,744,2,0.7111846741410963
AEC,1982,4,4281.06726,8.2,720,2,0.7251130182926829
AEC,1982,5,3330.09252,8.2,744,2,0.5458452202989773
AEC,1982,6,3739.37953,8.2,720,2,0.6333637415311654
AEC,1982,7,2837.33194,8.2,744,2,0.4650753901127721
AEC,1982,8,3901.5806,8.2,744,2,0.6395195056386048
AEC,1982,9,2240.77966,8.2,720,2,0.3795358502710028
AEC,1982,10,4194.60394,8.2,744,2,0.6875498196957777
AEC,1982,11,3002.9238100000002,8.2,720,2,0.5086253065718158
AEC,1982,12,4484.8746200000005,8.2,744,2,0.7351289371885655
AEC,1983,1,4344.80341,8.2,744,2,0.7121694548255968
AEC,1983,2,5055.26652,8.2,672,2,0.9174046385017421
AEC,1983,3,4591.817370000001,8.2,744,2,0.7526582366247051
AEC,1983,4,5455.90501,8.2,720,2,0.924103152100271
AEC,1983,5,3444.2551000000003,8.2,744,2,0.5645579432205613
AEC,1983,6,4600.31454,8.2,720,2,0.7791860670731708
AEC,1983,7,3200.73085,8.2,744,2,0.5246411700104904
AEC,1983,8,4302.37729,8.2,744,2,0.70521526521112
AEC,1983,9,2947.29654,8.2,720,2,0.499203343495935
AEC,1983,10,3402.96009,8.2,744,2,0.5577891571597168
AEC,1983,11,2423.4498399999998,8.2,720,2,0.4104759214092141
AEC,1983,12,4140.09128,8.2,744,2,0.6786144899029636
AEC,1984,1,3939.56128,8.2,744,2,0.6457450301599791
AEC,1984,2,4983.55519,8.2,696,2,0.8732049323661341
AEC,1984,3,3871.02823,8.2,744,2,0.6345115771702072
AEC,1984,4,4161.84745,8.2,720,2,0.7049199610433605
AEC,1984,5,2994.4331700000002,8.2,744,2,0.490826312942565
AEC,1984,6,3083.1679000000004,8.2,720,2,0.5222167852303524
AEC,1984,7,2799.82441,8.2,744,2,0.45892742099396805
AEC,1984,8,3062.225,8.2,744,2,0.5019382703907684
AEC,1984,9,2803.09848,8.2,720,2,0.4747795528455285
AEC,1984,10,2549.89741,8.2,744,2,0.41796115427484926
AEC,1984,11,2401.58297,8.2,720,2,0.4067721832655827
AEC,1984,12,2340.8824999999997,8.2,744,2,0.38370090807762913
AEC,1985,1,3055.41594,8.2,744,2,0.5008221774193549
AEC,1985,2,3032.3542500000003,8.2,672,2,0.5502965755662023
AEC,1985,3,3573.78827,8.2,744,2,0.585790104576449
AEC,1985,4,3019.1668600000003,8.2,720,2,0.5113765006775068
AEC,1985,5,3529.1905399999996,8.2,744,2,0.5784799600052453
AEC,1985,6,2848.9969199999996,8.2,720,2,0.48255367886178857
AEC,1985,7,3491.5142299999998,8.2,744,2,0.5723043256622082
AEC,1985,8,3182.2135399999997,8.2,744,2,0.521605943482822
AEC,1985,9,3690.64841,8.2,720,2,0.6251098255420054
AEC,1985,10,3391.1597699999998,8.2,744,2,0.5558549321400472
AEC,1985,11,3524.83911,8.2,720,2,0.5970255945121952
AEC,1985,12,4048.10603,8.2,744,2,0.6635369181091005
AEC,1986,1,3615.86029,8.2,744,2,0.5926862526226069
AEC,1986,2,4532.71307,8.2,672,2,0.8225742359901277
AEC,1986,3,4012.0508099999997,8.2,744,2,0.6576270013768687
AEC,1986,4,4247.65291,8.2,720,2,0.7194534061653117
AEC,1986,5,3453.92159,8.2,744,2,0.5661424059139786
AEC,1986,6,3310.05071,8.2,720,2,0.5606454454607046
AEC,1986,7,3289.9738,8.2,744,2,0.5392692433779177
AEC,1986,8,3326.4008700000004,8.2,744,2,0.5452401111329663
AEC,1986,9,2872.31764,8.2,720,2,0.4865036653116532
AEC,1986,10,2883.6141900000002,8.2,744,2,0.47266164929189625
AEC,1986,11,2468.49431,8.2,720,2,0.4181054048102981
AEC,1986,12,2818.78687,8.2,744,2,0.462035613362182
AEC,1987,1,3840.9280500000004,8.2,744,2,0.6295777684893785
AEC,1987,2,3802.88663,8.2,672,2,0.6901289615998839
AEC,1987,3,3991.2505,8.2,744,2,0.6542175616312615
AEC,1987,4,3733.05149,8.2,720,2,0.6322919190379405
AEC,1987,5,3874.6112,8.2,744,2,0.6350988722790454
AEC,1987,6,3686.44268,8.2,720,2,0.6243974728997291
AEC,1987,7,3799.9930299999996,8.2,744,2,0.6228679894440073
AEC,1987,8,3470.50437,8.2,744,2,0.5688605379622346
AEC,1987,9,3231.92541,8.2,720,2,0.5474128404471545
AEC,1987,10,2831.75679,8.2,744,2,0.4641615509441385
AEC,1987,11,2358.9531500000003,8.2,720,2,0.39955168529810303
AEC,1987,12,2145.2790999999997,8.2,744,2,0.3516389817728822
AEC,1988,1,2953.06185,8.2,744,2,0.48404501868607397
AEC,1988,2,3174.87131,8.2,696,2,0.5562922816792824
AEC,1988,3,3240.2316499999997,8.2,744,2,0.5311158618541831
AEC,1988,4,3276.44235,8.2,720,2,0.5549529725609756
AEC,1988,5,2891.90174,8.2,744,2,0.47402008589037503
AEC,1988,6,2722.84659,8.2,720,2,0.46118675304878054
AEC,1988,7,2287.75188,8.2,744,2,0.3749921125098348
AEC,1988,8,2340.75324,8.2,744,2,0.3836797206923683
AEC,1988,9,2945.17768,8.2,720,2,0.49884445799457994
AEC,1988,10,2561.09017,8.2,744,2,0.419795792355101
AEC,1988,11,3274.68648,8.2,720,2,0.554655569105691
AEC,1988,12,2754.55078,8.2,744,2,0.45150648767374774
AEC,1989,1,3651.5422799999997,8.2,744,2,0.5985349921321794
AEC,1989,2,3193.3032599999997,8.2,672,2,0.5795048018292683
AEC,1989,3,2893.42169,8.2,744,2,0.47426922534749544
AEC,1989,4,3152.49203,8.2,720,2,0.5339586771680217
AEC,1989,5,3102.11325,8.2,744,2,0.5084764702989772
AEC,1989,6,3540.9322599999996,8.2,720,2,0.5997513990514906
AEC,1989,7,3820.25324,8.2,744,2,0.6261888998164176
