ba,year,month,hydro_gen_mwh,hydro_capacity,hours_in_month,hydro_num_sites,hydro_cf,solar_gen_mwh,solar_capacity,solar_cf,solar_num_sites,wind_gen_mwh,wind_capacity,wind_cf,wind_num_sites,datetime_utc,datetime_local
AECI,1982,1,570.28862,30,744,2,0.02555056541218638,271222.04576043074,5000,0.0729091520861373,1,701855810.9846568,1838800,0.5130272920691739,8,1982-01-01T00:00:00Z,1982-01-01T00:00:00Z
AECI,1982,2,1889.7373000000002,30,672,2,0.09373696924603177,302694.99999999994,2500,0.1801755952380952,1,186212034,919400,0.30139356218341157,8,1982-02-01T00:00:00Z,1982-02-01T00:00:00Z
AECI,1982,3,8178.59581,30,744,2,0.3664245434587814,396497.5,2500,0.21317069892473117,1,239561361.2,919400,0.3502187044613013,8,1982-03-01T00:00:00Z,1982-03-01T00:00:00Z
AECI,1982,4,4855.20309,30,720,2,0.22477792083333334,376707.5,2500,0.2092819444444444,1,244600709.9,919400,0.3695053384755759,8,1982-04-01T00:00:00Z,1982-04-01T00:00:00Z
AECI,1982,5,4532.43005,30,744,2,0.20306586245519712,374367.5,2500,0.2012728494623656,1,195894162.5,919400,0.2863809065811972,8,1982-05-01T00:00:00Z,1982-05-01T00:00:00Z
AECI,1982,6,4855.48116,30,720,2,0.22479079444444447,350519.9999999999,2500,0.19473333333333329,1,117966212,919400,0.17820530901795856,8,1982-06-01T00:00:00Z,1982-06-01T00:00:00Z
AECI,1982,7,4127.93015,30,744,2,0.18494310707885306,415452.5,2500,0.22336155913978495,1,142380952.3,919400,0.20814906212209464,8,1982-07-01T00:00:00Z,1982-07-01T00:00:00Z
AECI,1982,8,3305.89094,30,744,2,0.14811339336917562,378987.50000000006,2500,0.20375672043010756,1,160016267.5,919400,0.23393042023081909,8,1982-08-01T00:00:00Z,1982-08-01T00:00:00Z
AECI,1982,9,4456.9297799999995,30,720,2,0.20633934166666665,386660.00000000006,2500,0.21481111111111112,1,204805815,919400,0.30938929827423683,8,1982-09-01T00:00:00Z,1982-09-01T00:00:00Z
AECI,1982,10,5743.8708400000005,30,744,2,0.25734188351254483,362214.99999999994,2500,0.1947392473118279,1,246767226.1,919400,0.3607530771880213,8,1982-10-01T00:00:00Z,1982-10-01T00:00:00Z
AECI,1982,11,4313.70163,30,720,2,0.19970840879629628,219417.50000000003,2500,0.12189861111111112,1,232397448.9,919400,0.3510705183634254,8,1982-11-01T00:00:00Z,1982-11-01T00:00:00Z
AECI,1982,12,8065.668790000001,30,744,2,0.36136508915770615,213890.00000000015,2500,0.11499462365591404,1,222154468.1,919400,0.32477128038739617,8,1982-12-01T00:00:00Z,1982-12-01T00:00:00Z
AECI,1983,1,5825.93404,30,744,2,0.26101855017921144,255095.37012113043,5000,0.06857402422611034,1,431531387.4056528,1838800,0.31543142574111327,8,1983-01-01T00:00:00Z,1983-01-01T00:00:00Z
AECI,1983,2,940.1883300000001,30,672,2,0.04663632589285714,262877.49999999977,2500,0.15647470238095224,1,197581279.3,919400,0.3197952587155702,8,1983-02-01T00:00:00Z,1983-02-01T00:00:00Z
AECI,1983,3,3744.9956700000002,30,744,2,0.16778654435483872,333787.4999999999,2500,0.17945564516129026,1,258075694.7,919400,0.37728511391838065,8,1983-03-01T00:00:00Z,1983-03-01T00:00:00Z
AECI,1983,4,7561.33817,30,720,2,0.3500619523148148,312737.5000000002,2500,0.17374305555555566,1,203877129.3,919400,0.30798638197012546,8,1983-04-01T00:00:00Z,1983-04-01T00:00:00Z
AECI,1983,5,10628.361570000001,30,744,2,0.4761810739247312,422025.0000000001,2500,0.22689516129032267,1,217088272.40000004,919400,0.31736492534869637,8,1983-05-01T00:00:00Z,1983-05-01T00:00:00Z
